id,placerelation,place
22155,1,1058
22156,1,1059
22157,1,1060
22158,1,1061
22159,1,1062
22160,1,1063
22161,1,1064
22162,1,1065
22163,1,1066
22164,1,1067
22165,1,1068
22166,1,1069
22167,1,1070
22168,1,1071
22169,1,1072
22170,1,1073
22171,1,1074
22172,1,1075
22173,1,1076
22174,1,1077
22175,1,1078
22176,1,1079
22202,1,1080
22206,1,1081
22207,1,1082
22144,1,1083
22212,1,1084
22215,1,1085
22183,1,1086
22184,1,1087
22142,1,1088
22186,1,1089
22187,1,1090
22188,1,1091
22189,1,1092
22190,1,1093
22191,1,1094
22192,1,1095
22193,1,1096
22194,1,1097
22195,1,1098
22196,1,1099
22197,1,1100
22198,1,1101
22199,1,1102
22200,1,1103
22201,1,1104
22210,1,1105
22203,1,1106
22204,1,1107
22205,1,1108
21846,2,1
21847,2,2
21848,2,3
21849,2,4
21850,2,5
21851,2,6
21852,2,7
21853,2,8
21854,2,9
21855,2,10
21856,2,11
21857,2,12
21858,2,13
21859,2,14
21860,2,15
21861,2,16
21862,2,17
21863,2,18
21864,2,19
21865,2,20
21866,2,21
21867,2,22
21868,2,23
21869,2,24
21870,2,25
21871,2,26
21872,2,27
21873,2,28
21874,2,29
21875,2,30
21876,2,31
21877,2,32
21878,2,33
21879,2,34
21880,2,35
21881,2,36
21882,2,37
21883,2,38
21884,2,39
21885,2,40
21886,2,41
21887,2,42
21888,2,43
21889,2,44
21890,2,45
21891,2,46
21892,2,47
21893,2,48
21937,2,489
21938,2,492
21939,2,499
21940,2,502
21941,2,508
21942,2,510
21943,2,511
21894,2,514
21895,2,515
21896,2,516
21897,2,520
21898,2,523
21899,2,524
21900,2,530
21901,2,531
21902,2,533
21903,2,535
21904,2,538
21905,2,540
21906,2,541
21907,2,542
21908,2,543
21909,2,547
21910,2,548
21911,2,549
21912,2,550
21913,2,552
21914,2,553
21915,2,554
21916,2,555
21917,2,556
21918,2,557
21919,2,558
21920,2,559
21921,2,560
21922,2,561
21923,2,563
21924,2,564
21925,2,565
21926,2,566
21927,2,567
21928,2,568
21929,2,569
21930,2,570
21931,2,571
21932,2,572
21933,2,573
21934,2,574
21935,2,575
21936,2,576
20766,3,56
20767,3,57
20772,3,67
20775,3,71
20777,3,75
20778,3,76
20779,3,77
20781,3,82
20783,3,84
20784,3,85
20751,3,87
20786,3,89
20771,3,96
20790,3,97
20791,3,98
20792,3,102
20793,3,103
20795,3,120
20797,3,122
20798,3,125
20748,3,129
20749,3,131
20750,3,138
20752,3,140
20753,3,141
20754,3,145
20755,3,149
20756,3,150
20757,3,151
20758,3,152
20759,3,156
20760,3,158
20761,3,161
20762,3,162
20763,3,175
20764,3,180
20765,3,183
20768,3,187
20769,3,189
20770,3,192
20773,3,197
20774,3,198
20776,3,200
20780,3,208
20782,3,211
20796,3,212
20785,3,215
20787,3,222
20788,3,223
20789,3,224
20794,3,235
20799,3,1048
20800,3,1054
20801,3,1056
20802,3,1060
20803,3,1061
20804,3,1063
20805,3,1066
20806,3,1067
20807,3,1073
20808,3,1074
20809,3,1075
20810,3,1082
20811,3,1085
20812,3,1092
20813,3,1094
20814,3,1096
20815,3,1099
20816,3,1109
20817,3,1110
20818,3,1111
20819,3,1112
20820,3,1113
20821,3,1114
20822,3,1115
20823,3,1116
20824,3,1117
20825,3,1118
20826,3,1119
20827,3,1120
20828,3,1121
20829,3,1122
20830,3,1123
20831,3,1124
20832,3,1125
20833,3,1126
20834,3,1127
20835,3,1128
20836,3,1129
20837,3,1130
20838,3,1131
20839,3,1132
20840,3,1133
20841,3,1134
20842,3,1135
20843,3,1136
20844,3,1137
20845,3,1138
20846,3,1139
20847,3,1140
20848,3,1141
20849,3,1142
20850,3,1143
20851,3,1144
20852,3,1145
20853,3,1146
20854,3,1147
20855,3,1148
20856,3,1149
20857,3,1150
14663,4,227
14662,4,228
14661,4,229
14664,4,230
14665,4,231
14666,4,232
21748,5,58
21739,5,69
21741,5,72
21746,5,86
21750,5,90
21745,5,104
21742,5,107
21738,5,130
21743,5,173
21744,5,174
21740,5,199
21747,5,217
21749,5,219
21758,5,1064
21760,5,1069
21762,5,1072
21765,5,1087
21759,5,1098
21761,5,1103
21763,5,1105
21764,5,1106
21751,5,1216
21752,5,1217
21753,5,1218
21754,5,1219
21755,5,1220
21756,5,1221
21757,5,1222
21684,6,62
21668,6,65
21669,6,83
21670,6,99
21685,6,101
21673,6,105
21674,6,106
21679,6,117
21676,6,126
21671,6,132
21672,6,133
21681,6,153
21683,6,163
21675,6,171
21677,6,177
21682,6,185
21678,6,195
21686,6,540
21706,6,568
21707,6,569
21708,6,570
21709,6,571
21710,6,572
21711,6,573
21712,6,574
21713,6,575
21714,6,576
21716,6,606
21717,6,611
21718,6,612
21680,6,841
21687,6,1057
21688,6,1059
21719,6,1078
21715,6,1093
21689,6,1191
21690,6,1192
21691,6,1193
21692,6,1194
21693,6,1195
21694,6,1196
21695,6,1197
21696,6,1198
21697,6,1199
21698,6,1200
21699,6,1201
21700,6,1202
21701,6,1203
21702,6,1204
21703,6,1205
21704,6,1206
21705,6,1207
14702,7,80
14701,7,112
14700,7,169
14698,7,207
14697,7,214
14699,7,218
14705,8,78
14703,8,147
14704,8,184
14710,9,141
14707,9,150
14706,9,151
14708,9,152
14712,9,161
14709,9,212
14711,9,223
14713,10,82
14715,10,131
14714,10,158
14716,10,222
14721,11,69
14720,11,72
14718,11,107
14719,11,173
14717,11,217
14722,12,61
14723,12,100
14725,12,112
14724,12,213
14732,13,79
14731,13,115
14726,13,146
14728,13,159
14730,13,190
14729,13,191
14727,13,206
14735,14,59
14734,14,100
14737,14,112
14733,14,182
14736,14,213
14738,15,109
14739,15,157
14742,16,142
14743,16,143
14741,16,176
14740,16,182
14744,16,216
14748,17,94
14747,17,144
14745,17,159
14746,17,164
14750,18,101
14749,18,153
14751,19,75
14752,19,161
14753,19,162
14754,19,211
14755,20,80
14756,20,109
14761,21,58
14757,21,72
14760,21,107
14759,21,173
14758,21,174
14764,22,78
14762,22,108
14763,22,196
14765,23,120
14766,23,158
14768,23,222
14767,23,224
14771,24,58
14773,24,69
14776,24,104
14772,24,130
14775,24,173
14774,24,174
14770,24,199
14769,24,217
14777,25,147
14778,25,181
14781,25,184
14779,25,196
14780,25,213
14782,26,67
14786,26,98
14783,26,150
14785,26,161
14784,26,211
14789,27,63
14788,27,80
14790,27,109
14787,27,209
14791,28,82
14792,28,183
14793,29,209
14796,30,77
14799,30,96
