 U253,19,30,,16,,20,8,5,6,14,,,,19,9,10,23,,,,,,21,17,,,,,,,,12,,18,12,,,,,,,,,,,,,,,,4,9,,16,,
 U265,,23,,54,,23,8,3,8,8,,,19,28,7,9,,,,,,,,17,,,,,,,,9,26,10,26,,,12,21,,,,,,,,,,,,12,15,20,13,,
 U276,19,19,94,14,15,19,3,3,2,3,222,,14,21,8,9,17,92,,,,15,21,15,26,64,,23,55,25,59,13,16,27,23,43,21,28,39,34,,,,,,,34,26,34,47,14,18,36,16,15,71
 U379,24,17,27,14,88,31,6,9,3,3,192,110,24,17,5,8,11,31,136,496,52,8,14,13,28,312,160,22,26,33,37,13,18,32,21,30,21,22,9,17,973,2756,555,127,473,349,28,34,25,29,8,26,15,41,13,44
 U381,19,49,,28,,22,18,4,5,44,,,,29,13,22,64,,,,,26,,65,,,,33,,,,9,,,27,,,,,52,,,,,,,,,,,32,17,18,,,
 U382,23,38,,70,38,39,9,8,6,8,,,,,16,15,,,,,,,,,46,210,,27,,,,12,,12,15,,,79,,,,,,,,,42,85,,,6,40,,,,
 U426,17,31,,19,132,32,5,6,5,11,,,34,43,7,9,18,,,,,19,44,92,,,,42,,,,7,18,19,12,157,61,89,33,75,,,,,,,,86,33,,16,53,21,76,29,
 U432,41,20,78,61,129,20,5,3,4,16,,380,21,20,8,11,29,64,,,124,31,44,16,52,102,134,36,40,47,304,12,22,13,13,39,28,128,96,50,298,,,,,344,93,42,120,98,15,24,25,53,21,78
 U462,,26,53,21,14,22,7,13,8,6,,,30,35,9,10,26,51,,,,34,41,30,33,,,33,,61,,12,32,12,26,34,30,54,19,41,,,,,,,34,47,27,49,6,22,26,14,27,
 U490,7,19,28,13,9,13,8,3,3,3,103,104,19,22,5,10,20,40,60,242,69,23,17,20,22,42,181,24,31,32,23,7,16,16,7,35,41,40,59,20,504,1083,1459,546,1053,126,18,31,31,26,12,14,13,13,46,55
 U494,20,62,58,32,13,25,8,4,7,10,125,81,18,48,31,8,28,56,203,276,365,18,28,20,71,94,141,26,103,56,69,13,17,12,14,164,41,38,82,23,249,1132,253,195,458,148,44,22,54,60,13,15,30,21,44,101
 U513,25,27,,30,68,18,5,5,13,9,,,26,29,10,14,31,,,,,56,22,,,,,,,48,,26,,13,9,36,34,45,30,,,,,,,,,,,,36,39,50,70,57,
 U515,31,25,78,17,14,22,10,10,7,5,459,610,13,25,7,21,26,140,185,454,156,18,21,55,53,281,366,34,53,76,261,34,40,27,8,53,95,93,15,19,714,1456,552,175,,577,142,61,32,113,13,9,11,71,97,98
 U578,19,36,,76,38,50,8,5,18,11,,,41,31,33,42,,,,,,,,51,,,,,,,,40,24,17,15,,,66,105,,,,,,,,,,,,71,56,26,,,
 U607,,25,32,25,82,25,8,6,5,7,117,300,23,64,7,12,54,59,341,1936,52,24,64,25,61,124,154,21,75,44,64,16,34,10,14,197,32,132,125,32,329,2949,7691,294,2815,810,33,33,39,46,10,20,20,57,260,80
 U621,27,30,66,24,78,27,13,9,13,21,,,33,38,10,73,35,79,,,68,52,41,41,168,199,82,49,77,82,31,18,32,25,15,137,85,57,31,49,,,,,,,158,59,52,66,16,16,27,60,25,55
 U668,62,,,18,44,11,14,9,12,72,,,29,,11,20,,,,,,,,,,,,,,,,10,45,10,9,,,39,43,,,,,,,,,,,,23,29,16,,,
 U691,7,22,23,9,8,10,4,2,2,5,74,97,13,13,8,8,23,33,139,170,79,14,11,14,22,43,75,12,29,18,32,7,8,12,6,22,23,8,24,12,102,136,,204,,150,21,,,,,,,,,
 U692,27,20,48,24,29,21,9,3,5,4,294,241,17,16,22,11,29,65,522,275,247,21,16,24,76,122,250,15,47,82,137,22,35,15,13,42,34,27,13,42,182,728,526,595,473,926,39,45,36,42,6,13,21,10,13,34
 U706,55,26,158,25,27,14,18,7,5,5,226,122,27,19,11,11,36,38,136,368,116,45,18,22,54,145,169,15,48,46,300,15,40,13,10,23,32,16,13,25,165,277,321,89,276,,,57,39,,18,18,16,17,57,45
 U716,39,22,,19,62,36,7,6,4,5,157,,49,25,20,8,,46,,,79,45,,26,73,,,31,,,,7,31,10,11,,36,23,,,,,,146,,,,,,,18,78,21,,,64
 U731,23,36,27,15,12,22,4,7,13,24,,,18,18,11,10,28,,,,,27,20,17,,,,20,,,,12,14,19,10,,,17,10,,110,,,193,328,,,,,,,,,,,
 U733,,19,58,16,24,11,6,3,5,7,162,130,21,18,10,8,17,73,182,494,107,17,15,15,30,59,65,24,44,44,40,9,23,9,9,41,59,20,22,23,229,375,205,182,318,315,120,31,20,34,13,16,12,11,40,31
