 U44,45,7,54,89,11,36,59,13,12,4,48,46,20,11,9,9,29,16,58,79,36,5,81,5,7,24,10,13,26,4,8,29,4,8,25,15,61,43,16,5,23,19,38,98,8,87,17,198,138,125,6,6,11,6,27,20,22,14,13,10,100,45,28,20,14,32,17,145,185,111
 U47,,,,190,20,,91,26,,5,,,148,13,11,18,327,54,,,,6,33,7,13,14,5,11,,6,17,10,,,,10,15,48,157,,,,,,,,16,,,,,,,,,,36,,17,27,,,,27,,,,,,
 U48,,,,,,,,,14,3,,,,12,32,21,,13,,,,7,,7,8,,5,,,3,10,19,4,6,3,8,6,,,,,,,,,,,,,,13,5,20,,,,,20,9,,,,,,,,,,,
 U49,,16,,,8,22,,30,,2,,30,20,29,8,9,,11,643,121,17,6,18,10,8,,7,,,8,9,9,3,5,6,24,,31,11,13,7,,,,9,,11,,,,7,7,15,9,13,,,17,19,22,,,,11,6,21,,17,,28
 U51,,188,,,41,58,45,19,27,4,,,22,20,17,25,,15,,,159,12,32,9,8,22,12,18,27,3,9,10,3,4,6,14,18,45,61,67,59,310,,14636,54,,15,,,,30,10,20,3248,22,46,,22,21,19,,,113,18,52,69,36,102,,51
 U54,,13,204,77,24,20,67,38,18,4,,48,18,17,20,35,176,10,,119,63,9,14,10,9,33,6,66,139,8,8,14,4,8,6,11,26,38,32,37,22,122,,,8,,10,,,,15,8,12,23,60,24,29,18,6,31,,,62,14,20,112,22,44,,51
 U55,,12,,,46,,,,,9,,,,41,34,26,,41,,,,43,,8,21,,12,,,6,29,13,4,14,9,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U62,,,,,,,,,,8,,,,,,,,,,,,38,,42,15,,43,,,20,15,,22,15,9,,23,,,,,,,,,,,,,,17,12,,,,,,,,,,,,,,,,,,
 U65,,21,,,34,,,,33,18,,,75,50,20,45,,22,,,,35,59,31,56,,23,96,,272,29,11,84,20,17,47,44,,,,,,,,105,,43,,,,35,24,47,22,,,,43,187,35,,,,64,,,72,,,
 U70,,81,,,61,,,,,17,,,,,29,,,15,,,,21,,17,23,,23,,,10,35,40,20,12,9,37,,,,,,,,,,,17,,,,30,17,,,,,,,167,,,,,,,,,,,
 U76,,21,,,,,,,,8,,,,33,19,50,,14,,,,20,,95,16,,11,,,9,40,20,24,6,64,31,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U78,,17,,,238,,,52,170,43,,,69,210,29,42,,254,,,31,32,40,10,27,,14,,,10,28,215,24,12,7,24,14,,,,,,,,48,,48,,,,18,57,38,,,,,131,33,33,,,,34,250,,73,,,
 U80,,170,,,16,,,42,,3,,,20,13,14,31,,84,,,,13,109,16,19,120,29,,,5,43,22,8,5,8,8,71,,,,,,,,,,28,,,,14,15,19,66,77,,,22,16,16,,,,85,36,,26,,,
 U82,,106,,,,,,,,5,,,89,20,19,59,,,,,,24,,27,16,,19,,,13,132,38,72,12,15,52,28,,,,,,,,,,40,,,,21,35,39,26,,,,28,,,,,,,,,29,,,
 U83,,,,,,,,,,,,,23,12,7,16,,7,,,,,,4,9,25,,,,3,,,3,,,15,4,,,,,,,,,,,,,,,9,14,,,,,,,,,,,,,,38,,,
 U87,,,,,,,,,,33,,,,33,,29,,,,889,77,36,,,20,,30,,,,,,24,13,7,,4,,,,,,,,,,,,,,16,14,,,,,,,,,,,,91,19,719,,,,
 U89,170,5,221,72,17,177,288,47,39,6,,,15,20,28,32,,19,71,,370,9,19,66,11,450,11,82,317,5,11,13,4,6,8,10,28,98,159,,,,,,165,,22,,,,14,23,21,,,,,22,27,57,,,,,,,31,34,,
 U95,,45,,,34,70,,51,30,4,,,44,23,24,20,,43,,,106,13,27,11,16,50,19,34,56,12,26,24,6,22,20,14,9,,,192,,,,,131,,20,,,,20,18,18,75,,,,38,29,27,,,,95,81,,44,,,
 U102,,,,,,,,,,27,,,,79,,157,,,,,,27,,,19,,132,,,,,,14,22,60,,6,,,,,,,,,,,,,,24,14,,,,,,,,,,,,276,,,,,,
 U106,,,,,12,,,,,16,,,,245,26,,,11,,138,110,65,29,18,30,,56,,,6,23,77,41,8,9,49,13,,,,,,,,,,27,,,,97,147,62,,,,,,72,,,,,14,131,,,,,
 U110,,25,,,28,,,108,306,11,,,32,22,15,43,,6,,,,11,39,12,11,37,10,,,7,60,12,6,12,11,14,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,
 U111,,13,46,,28,88,423,37,41,11,,60,22,19,15,24,,41,53,,19,17,32,21,20,16,46,34,72,5,33,12,6,6,15,15,12,224,788,395,2,268,56,,78,,87,49,,472,20,25,29,161,108,260,64,25,22,19,,,318,28,30,242,40,96,323,128
 U124,,,,,,,,,,3,,,,18,12,28,,,,,,17,19,7,11,,8,,,35,11,8,19,8,10,,18,,,,,,,,,,,,,,15,34,22,,,,,14,,,,,,51,,,,,,
 U136,,39,,,,,,,,17,,,,14,,,,,,,,5,,4,9,,3,,,6,11,8,3,8,4,14,23,,,16,25,,,,13,,,,,,,,,,,,,,21,,,,,,,,,,,
 U137,138,11,37,,15,54,52,27,28,3,139,177,13,15,18,17,,40,,13,13,8,73,6,9,27,8,73,67,10,9,8,3,6,4,23,16,54,45,18,45,,,103,43,,18,299,344,59,8,17,30,31,62,,108,17,20,42,69,,80,81,33,,25,30,,59
 U140,,97,,,12,84,,51,30,4,,,38,22,13,18,,,,,,39,49,44,43,,11,37,,10,28,18,10,13,6,9,20,,,,,,,,81,,18,,,,10,13,30,51,31,,,33,29,36,,,,38,,,46,,,
 U145,,32,99,,25,73,,48,136,21,,,67,64,26,166,,36,,,,36,44,16,16,65,29,106,,19,15,17,7,33,151,17,8,,,,,,,58,48,,79,,,,13,33,40,49,57,,,120,63,51,,,,87,,,62,,,
 U149,,21,,,,,,,,21,,,,,18,,,25,,,,7,,20,10,,11,,,8,31,12,8,9,19,25,32,,,,,,,,,,34,,,,10,10,,,,,,,58,,,,,,,,,,,
 U155,,,,,,,,,,14,,,,,,,,,,,,,,34,,,17,,,6,,53,31,12,87,35,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U158,,,,,,,,,,86,,,,,,,,,,,,27,,39,56,,27,,,12,95,18,80,14,65,9,9,,,,,,,,,,,,,,25,23,,,,,,,,,,,,,,,,,,
 U162,50,76,,,19,45,60,114,17,7,,,22,45,20,23,,17,,,,7,54,6,10,49,15,26,21,4,11,17,5,26,9,13,14,,,44,,,,,,,23,,,,10,21,18,15,52,,,22,16,60,,,,44,,,115,,,
 U166,,18,,,61,35,,96,33,7,,,31,34,32,24,,102,,49,141,7,116,33,42,114,23,34,106,19,45,52,9,31,12,29,41,67,226,185,24,82,,44,35,,30,,,151,20,13,47,15,41,18,26,52,16,47,,,59,44,48,,25,60,,121
 U168,,,,,,,,,,13,,,,,,,,,,,,9,,11,24,,7,,,6,,,5,8,8,,18,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,
 U169,361,9,229,94,8,58,103,30,12,10,106,34,11,10,10,18,76,7,261,614,19,6,13,8,5,17,6,46,41,4,14,11,4,9,4,8,4,49,120,25,25,23,127,23,9,17,23,170,,35,10,14,14,18,38,24,51,11,31,27,76,93,30,13,11,27,26,90,94,58
 U170,,186,,,32,,,,22,7,,,,43,,35,,64,,,,15,61,23,20,,158,,65,11,29,73,48,17,13,34,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U176,133,43,207,607,34,31,82,98,136,5,315,,28,42,15,21,67,24,186,223,130,8,31,10,18,33,16,46,,6,9,10,60,10,6,9,78,309,717,,,,,,49,,32,,,99,17,18,24,45,42,,213,23,29,23,,,202,46,202,515,64,33,,
 U179,54,10,195,67,12,98,,24,13,6,74,100,32,15,11,12,,11,84,,125,12,21,8,23,20,19,12,19,5,12,7,5,5,48,17,17,49,10,10,38,68,63,17,10,,10,20,,,10,36,18,9,20,72,,13,16,34,,,141,23,42,190,14,26,128,81
 U184,171,24,,,53,97,512,106,26,7,,,33,31,22,21,,72,51,,36,13,38,54,24,122,10,63,37,5,40,16,6,9,5,26,96,37,132,22,83,42,45,49,84,,32,,,27,9,13,25,22,52,34,163,45,16,34,,,49,53,19,,56,,,
 U185,,132,,,81,61,,126,35,10,,,163,42,17,18,,24,,,441,12,58,19,,168,,20,156,,,,,39,,,36,43,322,1705,63,359,,,442,,24,,,434,,17,43,37,60,341,135,23,28,66,,,124,20,65,,59,67,,75
 U201,,16,,,25,,,109,112,5,,,34,29,44,48,,34,,,,26,44,23,13,87,20,65,,19,25,113,13,42,16,22,26,,,,,,,,,,46,,,,22,21,127,,,,,40,22,182,,,,28,43,,36,,,
 U202,,23,,,86,,,,,13,,,106,,,,,19,,,,32,,22,51,,16,,,11,,,11,33,25,43,20,,,,,,,,,,,,,,,33,,,,,,,,,,,,41,63,,56,,,
 U215,,,,,48,,,,,5,,,,,,,,,,,,66,,13,73,,15,,,6,,,17,6,11,29,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U220,,75,,,15,675,71,78,214,19,,379,45,25,23,31,,99,,,36,32,77,9,29,69,15,61,,7,10,9,12,10,13,14,55,,168,,,,,,,,36,,,,25,56,39,65,44,,,22,36,28,,,,35,,,38,,,
 U224,503,24,110,1111,237,53,102,82,34,5,337,260,27,32,37,50,532,22,498,100,85,6,55,10,39,32,8,24,17,6,9,12,4,9,5,7,73,149,48,38,36,,,85,16,,65,,1775,,12,15,19,311,42,129,86,25,8,22,252,,50,47,150,199,18,41,440,694
 U229,,32,,,14,,,,,4,,,,33,52,26,,14,,,,8,,17,10,,13,,,9,18,40,45,5,9,23,31,,,198,,,,,34,,,,,,19,11,,75,,,,,83,,,,,,99,,,,,
