 U188,,42,,20,,,,,34,13,,,,,,,,14,,13,,,39,31,8,,9,,,13,13,21,,,42,36,,,,70,,21,,26,,11,,,,,,,,,25,17,,,,,18
 U191,,19,939,32,,53,,393,21,12,,987,,55,,,,12,,12,121,,37,11,18,,11,,,42,37,13,577,,162,30,,27,,58,,11,179,19,,11,221,93,214,218,,,,,26,28,,,,225,10
 U192,,16,,26,,67,,152,11,17,,,,121,,,,52,,25,,,35,10,18,,7,,,13,5,11,153,,31,12,,103,,118,,16,386,17,,15,34,195,703,,,,,,15,20,,,,,4
 U199,,20,,26,,63,,248,11,13,,233,,105,,,,10,,8,,,32,8,7,,14,,207,24,7,10,,80,52,30,,78,,70,,15,258,14,,29,82,,,161,,,,,19,16,,,,,9
 U200,151,12,52,22,271,20,87,32,25,13,298,85,197,24,65,312,51,12,297,6,101,175,21,5,6,298,12,58,203,9,7,16,73,124,10,11,912,76,576,12,128,12,30,9,99,11,28,231,54,32,190,477,218,199,18,8,146,100,123,108,7
 U201,,55,,22,,42,,,40,27,,,,67,,,,22,,9,,,38,19,8,,13,,,56,8,18,54,128,33,32,,27,,56,,10,98,20,,15,63,67,41,,,,,,19,17,,,,105,5
 U202,,24,,27,,364,,,27,,,,,,,,,,,,,,75,,,,,,,28,19,,,,237,,,22,,41,,,,,,,91,,,,,,,,33,38,,,,,23
 U206,76,19,294,62,82,26,272,60,19,13,158,326,71,89,209,110,96,21,308,8,77,362,69,9,9,998,22,341,138,15,12,20,47,261,19,12,258,288,438,39,184,17,38,17,237,12,30,83,366,60,150,118,127,154,17,15,103,424,196,102,10
 U207,,,,30,,,,,,,,,,89,,,,,,,,,,15,17,,,,,,12,,,,34,,,21,,,,,72,,,,,,,,,313,,,,39,,,,,15
 U215,,17,,29,,173,,91,17,18,,,,,,,,10,,10,,,188,12,9,,11,,,14,7,24,,,44,14,,154,,73,,13,,24,,19,275,,,,,,,,20,44,,,,,12
 U220,,25,109,14,,16,,35,8,10,,40,,72,,,,25,,20,51,,24,10,7,,12,63,97,28,5,11,139,27,25,12,,38,,22,,12,30,11,,15,21,46,40,101,,,41,,23,13,,,,52,6
 U222,,16,,,,,,,,22,,,,,,,,10,,12,,,,12,25,,10,,,9,11,8,,,,,,,,,,12,,,,23,,,,,,,,,,,,,,,8
 U224,83,18,207,23,219,41,116,132,21,12,323,287,248,52,348,451,175,13,232,10,337,145,29,6,10,86,24,93,351,11,5,13,52,340,25,10,462,86,251,49,715,12,61,15,1241,19,19,246,65,118,221,800,175,221,36,31,167,116,92,76,10
 U227,,13,,18,,40,,,8,26,,,,,,,,12,,9,,,63,5,7,,8,,,11,7,9,,,52,11,,16,,45,,22,,16,,17,24,,,,,,,,25,77,,,,,21
 U229,,14,,29,,80,,45,52,50,,,,108,,,,11,,7,,,11,9,32,,7,,,12,5,12,54,,17,7,,41,,17,,24,,15,,12,51,,,,,,,,13,11,,,,,14
