 U23, 34,,, 26,,, 148,,,,,,,,,,,,,,,,,,,,,, 106,,,,,,,,, 80,,,,,,,,,,,,,,,,,,, 112,,,,,,,,,, 192,,, 81,,,,,,, 9, 10, 41, 124,
 U25, 67,,, 30,,,, 110,,,,,,, 208,,,,,,,,,,,,,,,, 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 115,,,,,,,,,, 6, 9,,,
 U27,,,, 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7, 27,,,
 U29, 55,,, 35,,,,,,,,,,,,,,,,,,,,,,,,,,, 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9, 37, 49,,
 U31,,,,,,,,,,,,,,, 355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 17,, 20,,
 U32, 118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 10, 32,,,
 U33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 26,,,,
 U34, 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 21,,,,
 U35,,,, 29, 119,,,,,,,,,,,,,,,,,,,,,,,, 156,, 74,,,, 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 11, 21,,,
 U36,,,, 44,,,,,,,,,,,,,,,,,,,,,,,,, 18,, 29,,,, 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9, 34,,,
 U39,, 81,, 21,,,, 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 148,,,,,,,,,,,,,,,,,,,,,, 9,,,,
 U41,,,,,,,, 42, 74,, 221,, 102,,, 193, 231,,, 258,, 229,, 710,,,,,,,,,,,,,,,, 124,, 264,,,,, 98, 214, 463,,,,,,,,, 136,, 97, 79, 184,, 131,,, 63,, 349, 62,,, 132, 152,,, 15,,,,
 U42,, 42,, 15,,,,,,,,,,,,,,,,,, 231,,,,,,,,,,,,,,,,, 34, 85, 71, 82,,,,,,, 229,,,,,,,,,,,,,,, 202,, 88,,,,,,,,, 1570,, 8, 10,,,
 U43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 122,,,,,,,,,,,,,,,,,,, 120,,,,,,,,,,,,, 5, 9,,,
 U44, 16, 19, 38, 15, 16, 39, 11, 64, 93, 712, 127, 139, 1053, 49, 67, 73, 451, 358, 223, 229, 69, 73, 67, 108, 276, 733, 138, 301, 17, 52, 12, 364, 21, 19, 25, 20, 122, 34, 17, 97, 61, 121, 384, 45, 65, 339, 183, 207, 387, 543, 374, 1529, 243, 274, 63, 21, 36, 48, 110, 95, 49, 144, 300, 267, 289, 77, 49, 69, 93, 22, 34, 77, 122, 92, 58, 370, 6, 8, 30, 111, 359
