 U45,11,15,32,12,16,55,9,47,43,44,138,38,32,30,101,97,84,107,57,90,58,43,59,82,134,15,23,13,20,26,38,14,40,47,31,21,28,29,130,60,107,29,52,54,111,29,23,16,34,91,54,48,58,47,108,40,174,29,56,19,19,68,47,101,221,12,8,20,58
 U48,174,124,99,50,87,157,,,,,,,96,163,,,,,,,,,,,,82,48,79,102,,104,58,672,70,66,78,,165,,,,,,,,277,428,50,,,,239,,,,,,116,,138,150,,,,,28,23,382,105
 U49,,,13,,27,29,9,38,54,,,,33,24,63,,,,,,,119,,,,,41,11,,,,27,42,60,,37,119,,,,,,,,,43,,42,56,,53,38,,,,59,,,,,31,,69,,,6,,,12
 U56,273,,,28,52,,,,,,,,,,,,,,,,,,,,,25,32,55,,,,88,,,36,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,15,24,112,
 U62,24,34,47,21,25,54,17,60,112,,,,53,106,138,,,,,,,,,,,48,387,15,142,142,41,53,72,102,40,32,,64,,,,,,,,146,27,51,70,226,166,64,,82,,108,64,66,,52,47,,291,,,26,24,74,43
 U64,41,,,61,30,,111,,,,,,,,,,,,,,,,,,,41,,19,,,,22,,,41,66,,,,,,,,,,,50,54,,,,,,,,,,,,,,,,,,19,10,,
 U66,66,,,48,109,,154,,,,,,128,,,,,,,,,,,,,42,,80,62,,,351,64,,56,94,,,,,,,,,,,65,44,,,,,,,,,,,,71,,,,,,9,9,117,
 U69,73,177,,41,68,,137,,,,,,,,,,,,,,,,,,,40,,34,,,,31,,,86,42,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,17,14,152,
 U72,,104,158,,81,84,,510,117,,,403,267,95,512,,,,,,,187,,,,,279,,42,,140,61,62,489,280,,301,401,98,,138,144,1862,,,144,58,,314,204,265,741,750,393,,177,251,234,389,147,177,,1380,290,,,,75,315
 U76,27,,,27,76,,24,,,,,,,,,,,,,,,,,,,36,,27,,,,52,,,,22,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,9,15,,
 U78,51,138,405,123,230,126,130,,341,,,,178,125,,,,,,,,,,,,80,45,56,195,,146,67,101,743,134,786,,232,,,,,,,,128,288,115,,89,,210,,,,,,287,,65,168,,,,,31,17,77,518
 U81,23,110,28,15,48,91,22,,,,,,50,,,,,,,,,,,,,,,16,,,31,,,,26,35,,,,,,,,,,,58,31,,,,,,,,,,86,,,156,,,,,5,8,27,
 U86,42,,,23,,,73,,,,,,70,,,,,,,,,,,,,113,,32,,,,38,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,14,25,,
 U89,24,39,31,27,30,48,68,233,107,,,109,42,146,,115,,,227,,,,,,,42,85,70,80,111,59,19,123,54,46,41,146,47,,,2402,68,,,,178,25,27,45,135,5035,87,,129,,123,88,109,190,48,32,156,,,,11,12,77,27
 U92,73,,,90,23,,53,,,,,,,,,,,,,,,,,,,42,,89,,,,67,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,8,64,
 U95,56,159,78,18,38,99,39,206,,,,,87,,,,,,,,,,,,,26,113,48,72,,79,68,57,,42,35,,53,,,,,,,,,44,33,,,,,,,,,,,,62,54,,,,,15,19,385,24
 U100,103,,,58,57,,69,,,,,,,,,,,,,,,,,,,63,,132,,,,29,,,,47,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,21,11,,
 U101,98,,,42,115,,33,,,,,,,,,,,,,,,,,,,16,,47,,,,255,,,132,34,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,8,11,65,
 U107,12,,25,35,20,,30,,,,,,,167,,,,,,,,,,,,19,69,13,,,23,12,,,76,24,,,,,,111,,,,,,16,72,,102,,,,,,,118,,,,,,,,19,11,62,
 U108,25,87,,23,48,,,,,,,,174,94,133,,,,,,,,,,,68,,98,,,,50,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,
 U110,15,26,68,10,21,49,10,28,46,,,78,67,139,45,79,,,,,,160,,,,21,121,11,90,,24,19,83,31,27,30,,40,,,,,,,,223,41,16,67,,125,68,90,156,,137,83,110,,33,80,125,,,,6,10,30,64
 U111,22,30,122,60,43,74,36,89,39,269,124,185,38,131,85,145,172,260,158,142,231,277,378,86,313,32,98,72,183,229,35,23,60,53,74,25,73,71,123,384,47,49,226,258,400,49,46,62,63,198,73,45,246,107,202,64,89,55,812,49,162,129,67,100,401,24,9,72,46
 U112,37,76,,23,39,,22,109,68,,,146,,198,221,,,,,,,336,,,,23,204,17,33,,30,19,,124,50,60,105,67,130,,82,147,241,,,,99,33,69,158,162,175,155,207,,132,122,72,109,,106,,151,216,,40,15,126,35
 U114,19,,,29,36,,30,,,,,,,,,,,,,,,,,,,42,,31,,,34,42,,,70,18,,,,,,,,,,,,17,,,,,,,,,,129,,,,,,,,21,13,,
 U116,26,62,43,40,55,47,29,45,76,,,,112,109,,,,,,,,126,,,,34,,25,31,,26,23,110,39,52,20,,164,,,122,127,,,,49,66,66,85,,187,50,,104,,105,92,183,,46,55,,,,,17,21,45,31
 U126,23,54,,33,35,,46,,180,,,,,130,,,,,,,,,,,,45,,30,65,,80,33,,143,30,47,,79,,,,,,,,259,146,44,135,305,,67,,,,1861,,259,,176,45,,,,,11,13,61,124
 U137,22,54,77,25,47,105,57,,72,,,,64,,165,,,,,,,,,,,51,118,34,151,,47,29,69,103,84,112,92,48,,,,,,,,79,75,53,86,,,58,,,,79,,74,,45,,,,,,11,11,65,25
 U140,46,63,52,24,27,73,12,,,,,,72,,,,,333,121,,,,,,,43,,14,96,,26,24,,,31,32,,127,,,,,,,,,68,26,,,,,,117,192,61,58,49,,39,32,,,96,,7,9,23,62
 U145,112,,,75,71,,64,,,,,,,,,,,,,,,,,,,84,,143,,,104,65,,,108,96,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,20,18,,
 U146,56,54,51,40,34,85,48,149,345,,,348,168,249,541,945,,,213,,3950,556,,,423,90,39,66,109,95,215,27,139,182,49,76,1590,132,228,,855,1868,1759,500,,177,61,79,58,7280,369,,263,581,1031,239,100,540,384,137,427,670,3871,632,,6,13,41,377
 U149,118,55,,26,36,167,136,,,,,,65,,,,,,,,,,,,,24,,30,,,75,123,,,71,92,,,,,,,,,,,77,,,,,,,,,,,,,35,,,,,,12,32,21,
 U155,117,57,185,33,39,81,56,60,74,,,172,62,182,250,167,,,,,,145,,,,39,68,54,30,,102,36,182,214,236,90,73,49,,,,,,,,129,112,64,146,200,103,120,,171,,240,63,103,,28,160,,168,,,9,46,92,26
 U156,144,,,208,106,,268,,,,,,,,,,,,,,,,,,,49,,39,,,,262,,,145,56,,,,,,,,,,,,213,,,,,,,,,,,,,,,,,,34,37,,
 U157,64,33,,23,,,40,,,,,,,,,,,,,,,,,,,,,41,,,57,49,,,,57,,69,,,119,,,,,,,,84,79,,,,,,75,86,115,,,38,,,,,17,24,,
 U158,133,61,93,27,65,48,129,142,116,,,,94,,,,,,,,,,,,,114,64,70,30,305,220,27,24,,34,50,,75,,,,,,,,102,104,50,,,,58,,,,,,,,67,77,,,,,12,27,78,58
 U163,69,109,89,52,57,211,63,,88,,,,71,126,,,,,,,,,,,,66,337,71,40,,40,24,,107,85,55,,138,178,,175,,,,,125,389,99,122,,176,130,,,,78,,115,,126,67,,,,,16,13,135,82
 U164,90,214,,71,70,,158,,,,,,,,,,,,,,,,,,,95,,90,,,273,43,,,217,116,,,,,,,,,,,351,61,,,,,,,,,,,,,,,,,,45,89,217,
 U166,,47,38,,,,,,,,,,,152,81,,,,,,,167,,,,28,,20,,,32,,,,50,,148,,,,,182,,,,,191,42,,77,206,,,192,,,,,138,,72,249,97,243,,7,12,,
 U167,26,,,18,24,,32,,,,,,,,,,,,,,,,,,,18,,19,,,,40,,,,35,,,,,,,,,,,129,20,,,,,,,,,,,,,,,,,,12,14,,
 U168,33,,,26,58,,103,,,,,,,,,,,,,,,,,,,34,,65,,,,154,,,,51,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,14,10,,
 U176,23,68,21,19,23,67,15,27,65,,233,77,33,74,40,73,106,219,212,368,399,64,84,,163,18,115,16,19,93,63,26,53,51,197,24,143,52,326,213,125,108,392,168,212,72,29,49,33,551,81,40,102,143,264,102,63,102,173,138,32,176,84,50,87,6,8,25,20
 U180,23,133,59,15,36,78,20,158,,,,132,86,169,60,236,,,119,,69,116,65,,229,22,38,39,15,291,42,21,,208,57,45,93,33,151,,90,,,195,243,58,31,47,81,,205,84,84,92,197,71,93,56,134,196,94,76,104,164,52,6,9,24,49
 U184,39,23,143,16,23,49,17,221,46,371,135,90,40,77,274,88,88,369,164,206,98,134,411,276,92,23,103,17,120,43,31,18,121,193,91,31,196,50,211,155,337,109,59,122,152,48,32,43,100,53,82,57,87,114,181,71,83,48,131,49,76,142,870,228,153,6,8,38,68
