 U68,82,10,71,26,84,40,128,95,91,102,99,235,900,292,323,1427,296,374,,572,120,50,452,171,,,73,140,179,,1098,613,169,53,,,223,208,91,,66,569,210,218,,,1126,221,296,,664,,624,,21,28,82,145,264,28,211,31,,,360,122,92,304,40
 U70,176,33,40,27,201,41,203,85,83,74,86,349,175,208,92,370,,309,,92,,32,223,,,,72,,,,109,,192,251,,,,339,41,,,207,199,58,,,187,90,91,,,,303,,,,,,,,,,,,,,,,
 U76,221,35,51,62,,75,124,,130,,95,,,,386,,,,,705,,131,,,,,,,,,,,,,,,,,,,,,,63,,,,53,,,,,,,,,,,,,,,,,,,,,
 U80,98,12,46,45,242,56,,,232,200,146,,,,516,,,,,1638,,494,,,,,,,,,,,310,,,,,429,,,,,,95,,,,60,269,,,,,,,,,,,,,,,,,,,,
 U82,48,15,45,31,308,118,,,174,45,84,,,,196,,,,,178,,66,,,,,,,,,,,,,,,,196,,,425,,,422,,,,1235,,,,,,,31,23,181,58,,41,310,133,,,,342,60,,100
 U87,150,7,39,26,,33,,,,,,,,,168,,,,,1526,,,,,,,,,,,,,,,,,,,,,,,,120,,,,60,,,,,,,20,35,696,43,202,22,,,,,,,,,
 U89,94,9,73,24,83,26,575,472,513,33,121,519,1284,203,47,1597,526,397,445,93,141,157,108,619,,,593,229,246,,1247,136,1125,890,,,280,58,1335,278,1658,324,441,30,,,190,28,184,,200,395,756,,18,27,154,18,251,9,73,14,215,908,577,63,95,140,186
 U95,94,10,35,13,182,84,,140,57,183,106,,,,69,,,,,351,,43,155,,,,,,,,,173,,385,,,,38,,,,,,44,,,,131,193,,,,,,22,18,115,87,,13,,,,,,,,,
 U102,52,35,59,89,,234,,,,,,,,,355,,,,,2397,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,20,17,293,100,,78,,,,,,,,,
 U106,16,8,102,9,200,62,309,,95,,,,,,280,,,,,220,,155,,,,,,,,,,,,179,,,,64,,,,,,44,,,,209,,,,,,,69,16,905,480,511,9,,58,,,,,,,
 U108,46,25,48,32,123,63,156,565,63,218,159,149,129,86,669,253,195,384,788,57,,32,420,,,,588,111,419,452,601,139,210,92,,,427,153,1154,518,557,225,404,236,,726,67,40,161,,1176,1157,533,,17,22,163,62,148,14,309,43,1882,91,200,32,100,30,75
